content
"Sign in or create an account to watch, listen and join in"
Arsenal take step to ending semi-final nightmares - but regrets remain
Arsenal's 3-2 win at Chelsea seizes control of their EFL Cup tie - and overcoming their poor record in semi-finals will be the big positive for Mikel Arteta.
New Zealand sack 'gutted' head coach Robertson
Raducanu given potential Sabalenka obstacle in Melbourne
Fernandes not seeking to leave Man Utd in January
What does xG predict for the rest of the season?
'I'm to blame' - Real Madrid stunned by Albacete in Arbeloa's first game
Federer backs Alcaraz to complete career Slam in Melbourne
Weekly sports quiz: Which football club's stadium turned the sky pink?
Mane destroys Salah's Afcon dream again - will he get another chance?
Bayern's record-breaking Bundesliga season in numbers
Raducanu beaten by world number 204 in Hobart
Injured Harrison out of Nunes UFC 324 title fight
"WSL players make confessions including Toone, Shaw and Kelly. Video, 00:03:42WSL players make confessions including Toone, Shaw and Kelly"
"'I don't know if he jumps straight into another job' - Tomlin reaction. American Football. Video, 00:01:09'I don't know if he jumps straight into another job' - Tomlin reaction"
"Celtics coach gives same two-word answer to all questions after loss. Video, 00:00:45Celtics coach gives same two-word answer to all questions after loss"
"Carrick would bring spirit of Man Utd back - Rooney. Video, 00:02:41Carrick would bring spirit of Man Utd back - Rooney"
"Top four or FA Cup? - Rogers on his Villa ambitions. Video, 00:01:12Top four or FA Cup? - Rogers on his Villa ambitions"
Sanchez mistakes 'on me' - Rosenior defends Chelsea keeper
Chelsea boss Liam Rosenior defends goalkeeper Robert Sanchez following two mistakes in his side's 3-2 defeat at home to Arsenal on Wednesday in their Carabao Cup semi-final first-leg tie.
GB's Fery qualifies for first overseas Grand Slam
Morocco beat Nigeria on penalties to set up Afcon final against Senegal
"'If Flick hadn't come, I would have left Barca' - Raphinha"
A 6-2 sweep - Robertson & Trump complete bizarre Masters sequence
Calf injury threatens Smith's Six Nations start
Tottenham sign Gallagher from Atletico for Â£35m
Is Wenger's daylight idea the solution to fix offside?
Is the offside law about to change to Arsene Wenger's daylight idea? And should football make that change just because of VAR?
Amateur stuns world's best to win A$1m in Melbourne
'Cut me a little bit of slack' - O'Neill calls for patience on Celtic transfers
Atletico want Wolves' Gomes - Thursday's gossip
Hearts 'underdogs by long shot' but still setting Premiership pace
Scarlets want Wales' Hawkins to settle at centre
Burkina Faso sack coach as Mali hit by resignations
England head coach Wane steps down in World Cup year
"Shaun Wane steps down from his position as England coach, nine months before the Rugby League World Cup."
Mitchell hits century as New Zealand beat India
Taylor gets six-month ban for failed drugs test
Faletau out of Wales' first three Six Nations games
Whistleblowers made 185 reports to doping body
Manchester City sign USA midfielder Coffey
"Aki on sacrifices, outside noise and the World Cup"
"I've worked so hard for this opportunity - Rosenior. Video, 00:01:50I've worked so hard for this opportunity - Rosenior"
"The best years are to come - Guardiola on signing 'extraordinary' Semenyo. Video, 00:01:27The best years are to come - Guardiola on signing 'extraordinary' Semenyo"
"'Hugely disappointing' - Moyes on Keane red card appeal rejection. Video, 00:01:48'Hugely disappointing' - Moyes on Keane red card appeal rejection"
"'I don't feel any pressure' - Glasner on winning FA Cup again. Video, 00:01:27'I don't feel any pressure' - Glasner on winning FA Cup again"
"'He's done a lot of things right' - Frank on Romero's social media post. Video, 00:01:47'He's done a lot of things right' - Frank on Romero's social media post"
"Football in Greenland: The 'toughest' championship in the world? Video, 00:05:59Football in Greenland: The 'toughest' championship in the world?"
"The stunning football pitches hiding in the Arctic Circle. Video, 00:04:56The stunning football pitches hiding in the Arctic Circle"
"Exploring Britain's most extraordinary cricket grounds. Video, 00:06:49Exploring Britain's most extraordinary cricket grounds"
"How does British football food rate with European fans? Video, 00:01:39How does British football food rate with European fans?"
"Inside the $5bn World Cup stadium in California. Video, 00:02:49Inside the $5bn World Cup stadium in California"
"Tactics, transfers and turmoil - inside the fall of Amorim"
"After 14 months, Ruben Amorim has been sacked by Manchester United - but where did it all go wrong?"
"Booze, beach, beaten - how England lost the Ashes"
I've realised I can make a difference - Hoy
"The man behind the headlines - Salah, by Klopp, Diaz and more"
"Inside McLaren's season - the rules, values, incidents & relationships"
England's AI World Cup masterplan - from perfecting penalties to powering players
'Raise hell' - the fastest bowler you might not have heard of
Hasty or a shrewd move? Madrid in shock at swift Arbeloa appointment
Semenyo scores again - who are winners and losers of his arrival?
Why has no English boss won Premier League -  and who could be first?
More money and bigger say - are top-10 stars being reasonable?
Are fans being turned off multi-club ownership model?
"World Football. Afcon 2025: Morocco and Senegal reach the final. Audio, 18 minutesWorld Football"
Afcon 2025: Morocco and Senegal reach the final
Lee James and guests provide immediate reaction to Morocco and Senegal's semi-final wins.
"Rugby Union Weekly. Nations Pod Guide: Twickenham. Audio, 43 minutesRugby Union Weekly"
"Football Daily. The Debrief: Five-goal Stamford Bridge thriller, AFCON final is set. Audio, 33 minutesFootball Daily"
"The Debrief: Fiveâgoal Stamford Bridge thriller, AFCON final is set"
"Will Vonn win Winter Olympic gold again? Audio, 20 minutesWill Vonn win Winter Olympic gold again?"
"Football Daily. 72+ EFL Pod: Wimbledon, FA Cup & New Championship Managers. Audio, 46 minutesFootball Daily"
"72+ EFL Pod: Wimbledon, FA Cup & New Championship Managers"
Discover the BBC's best sports podcasts
"All the latest news, insights and gossip from the Premier League, in your inbox every weekday."
Where and how to watch BBC News
Find out more about our BBC Sport app
No place for weak men in my dressing room - Stokes
"Watch extended day four highlights on BBC iPlayer. Video, 26 minutesWatch extended day four highlights on BBC iPlayer"
Ashes player ratings: Who may be wilting under the pressure?
"Daily Ashes Debrief: Analysis and reaction to England's second-Test defeat. Video, 15 minutesDaily Ashes Debrief: Analysis and reaction to England's second-Test defeat"
Listen to the TMS podcast on BBC Sounds
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.
